iter	RMSE
0	168.6741816
1	166.5399074
2	165.2951714
3	163.8269848
4	162.5286499
5	161.4103901
6	160.469014777	159.714754388	159.044495
9	158.4735816
10	157.8528669
11	157.3316598
12	156.9480849
113	155.9935841114	155.5717297115	155.253526
16	154.8704368
17	154.8326085118	154.6048554119	154.2621498220	153.970082221	153.5817014
22	153.4182221
23	153.2072475
24	153.0120843
25	152.8136613
26	152.6363929
27	152.4382344
28	152.2314849
29	152.0297236
30	151.8741614
31	151.7590886332	151.6590721333	151.5448733434	151.4648873535	151.3462636	36	151.2290137	37	150.6269438	38	149.9837539	39	149.8765340	40	149.7715541	41	149.6279142	42	149.5461243	43	149.4699844	149.4100248
4545	148.9421724646	148.8456254747	148.7578724848	148.2533184949	147.8274585050	147.7380555151	147.6755835252	147.3631425553	147.2812185454	147.2122185555	147.145247556	147.068316
57	146.9874291
58	146.9320969
59	146.874535
60	146.7548418
61	146.4616957
62	146.1200697
63	146.0655132
64	145.8033085
65	145.5584284
66	145.5015278
67	145.4526766668	145.3949224669	145.3418168770	145.3111333771	145.26408
72	144.9935521
73	73	144.7813874	74	144.6543775	75	144.76	1476	76	144.77	177	177	144.102878	178	143.79	179	179	143.80	180	180	143.81	81	1481	14382	182	1482	14383	183	143.043884	184	143.001685	185	142.952586	186	142.907487	87	142.4544288	88	142.4224419
89	142.3788744
90	142.1170404
91	141.7647306
92	141.7318833
93	141.5331746
94	141.4196918
95	141.1793072
96	141.1232546
97	141.0404758
98	140.9520478
99	140.9087984
100	140.8839782
101	140.7217381
102	140.6870903
103	140.3846436
104	140.3466482
105	140.2995851
106	140.2609374
107	140.2383043
108	140.1817441
109	140.148199
110	140.1237013
111	140.1002956
112	139.9410079
113	139.8938951
114	139.8658973
115	139.6794238
116	139.5493496
117	139.52979118118	139.5017457
119	139.4589545
120	139.4353914
121	139.3383935
122	139.309123	1123	139.241124	1124	139.220125	1125	139.1842899
126	139.062127	1127	138.9713134
128	138.9383385
129	138.7984585
130	138.7790422
131	138.7487013
132	138.695932
133	138.6593071
134	138.4032677
135	138.3700317
136	138.2750606
137	138.2530384
138	138.2134232
139	137.9559906
140	137.7264726
141	137.6889499
142	137.6422633
143	137.3934879
144	137.3350981
145	137.2912071
146	137.0264283
147	136.9598788
148	136.784509
149	136.6900772
150	136.6624893
151	136.5656314
152	136.5327293
153	136.4970417
154	136.4781664
155	136.4592122
156	136.3972817
157	136.3705055
158	136.3142523
159	136.2865692
160	136.261203
161	136.237189
162	136.2046879
163	136.0685836
164	136.0071877
165	135.8303325
166	135.7988991
167	135.7746291
168	135.5042163
169	135.3050878
170	135.2498165
171	135.2330008
172	135.0975138
173	135.0780172
174	135.0128222
175	134.9869712
176	134.9257139
177	134.8967147
178	134.873184
179	134.8464466
180	134.7709019
181	134.6986824
182	134.5145939
183	134.4368156
184	134.4049699
185	134.2938045
186	134.2282032
187	134.2000134
188	134.1608047
189	134.138206
190	134.1179366
191	134.0871499
192	134.0548709
193	134.0207695
194	133.9580238
195	133.9144604
196	133.894126
197	133.8780911
198	133.829411
199	133.8125518
200	133.6951941
201	133.5212963
202	133.4672108
203	133.3972252
204	133.3215918
205	133.2998895
206	133.2676745
207	133.2472466
208	133.1473954
209	133.0099096
210	132.9915858
211	132.9256262
212	132.8665825
213	132.8443745
214	132.8132824
215	132.6943255
216	132.5875447
217	132.5665433
218	132.5061704
219	132.4938525
220	132.4615488
221	132.3602914
222	132.3177871
223	132.268324
224	132.2038405
225	132.1865451
226	132.0441376
227	132.013087
228	131.9938379
229	131.9498023
230	131.9118956
231	131.7683704
232	131.7414548
233	131.6131869
234	131.5154138
235	131.5042547
236	131.4489339
237	131.4209537
238	131.3727006
