iter	Passed	Remaining
0	298	298028
1	410	204661
2	584	194349
3	762	189831
4	932	185613
5	1067	176883
6	1189	168742
7	1305	161877
8	1429	157415
9	1557	154174
10	1664	149647
11	1766	145435
12	1875	142412
13	1947	137151
14	2082	136776
15	2183	134301
16	2295	132719
17	2430	132571
18	2541	131205
19	2640	129364
20	2743	127921
21	2831	125894
22	2947	125206
23	3066	124699
24	3171	123675
25	3286	123100
26	3392	122249
27	3511	121896
28	3612	120940
29	3722	120352
30	3836	119906
31	3955	119649
32	4060	118991
33	4171	118524
34	4295	118446
35	4390	117561
36	4490	116875
37	4596	116371
38	4687	115510
39	4781	114762
40	4898	114572
41	5006	114202
42	5120	113968
43	5212	113242
44	5343	113402
45	5435	112724
46	5547	112485
47	5664	112339
48	5775	112085
49	5888	111884
50	5988	111440
51	6097	111162
52	6206	110901
53	6316	110653
54	6418	110285555	6516	109855656	6616	109465757	6722	109185858	6834	108995959	6972	109236
60	7086	109091
61	7205	109007
62	7314	108790
63	7405	108302
64	7512	108063
65	7631	107992
66	7743	107827
67	7837	107415
68	7943	107186
69	8041	106836
70	8149	106630
71	8263	106510
72	8356	106117
73	8573	107281
74	8681	107074
75	8775	106686776	8882	106478777	9000	106395
78	9111	106226779	9220	106036880	9313	105668881	9408	105328882	9521	105198883	9561	104268884	9689	104304885	9819	104359886	9936	104280
87	10058	104244
88	10173	104137
89	10276	103908
90	10391	103801
91	10526	103888
92	10623	103609
93	10712	103246
94	10835	103219
95	10939	103009
96	11051	102877
97	11144	102576
98	11242	102317
99	11379	102412
100	11482	102203
101	11597	102099
102	11717	102047
103	11885	102397
104	12009	102363
105	12148	102462
106	12289	102567
107	12399	102408
108	12524	102382
109	12673	102540
110	12794	102472
111	12905	102321
112	13009	102120
113	13116	101937
114	13205	101623
115	13303	101380
116	13402	101146
117	13499	1008911118	13624	100866
119	13731	100695
120	13832	100488
121	13917	100160
122	14012	123	14123	14127	124	14124	14241	125	14125	14357	99589
126	14461	127	14127	14570	99262
128	14687	99167
129	14800	99047
130	14908	98899
131	15034	98866
132	15152	98777
133	15304	98905
134	15435	98900
135	15558	98845
136	15678	98760
137	15770	98510
138	15915	98582
139	16030	98471
140	16159	98444
141	16284	98392
142	16425	98435
143	16576	98536
144	16691	98422
145	16827	98427
146	16970	98477
147	17084	98352
148	17217	98334
149	17367	98414
150	17496	98372
151	17634	98379
152	17748	98254
153	17862	98126
154	17998	98122
155	18113	97999
156	18248	97983
157	18355	97820
158	18471	97702
159	18604	97674
160	18717	97539
161	18837	97442
162	18961	97366
163	19053	97127
164	19148	96905
165	19287	96902
166	19399	96763
167	19518	96663
168	19639	96570
169	19784	96596
170	19899	96473
171	20004	96299
172	20137	96265
173	20244	96102
174	20369	96025
175	20495	95956
176	20606	95812
177	20712	95649
178	20832	95549
179	20961	95491
180	21083	95398
181	21222	95385
182	21324	95202
183	21430	95041
184	21549	94934
185	21673	94848
186	21801	94783
187	21916	94662
188	22042	94584
189	22160	94474
190	22319	94536
191	22471	94567
192	22630	94627
193	22776	94627
194	22907	94566
195	23048	94547
196	23172	94453
197	23280	94296
198	23404	94206
199	23519	94078
200	23626	93917
201	23743	93797
202	23859	93673
203	23970	93532
204	24064	93325
205	24180	93199
206	24275	92996
207	24386	92858
208	24502	92735
209	24604	92558
210	24719	92435
211	24820	92257
212	24916	92064
213	25038	91964
214	25148	91821
215	25248	91643
216	25339	91433
217	25446	91281
218	25564	91168
219	25657	90966
220	25775	90857
221	25892	90739
222	26000	90592
223	26115	90469
224	26214	90293
225	26328	90170
226	26435	90019
227	26548	89892
228	26657	89751
229	26759	89586
230	26870	89450
231	26979	89310
232	27066	89098
233	27187	88999
234	27272	88779
235	27399	88698
236	27492	88510
237	27609	88396
